"Username","UserId","RevisionCount","WordCount","NECount","MathCount","Average Edit Longevity","Average Text Quality","Efficiency","Content in latest version"
"Ser Amantio di Nicolao","753665","2","5","3","0","0.5","0.9876527664882068","1.0","4.504504504504505"
"Camera-On","23733276","1","27","6","0","0.8015768725361366","0.9897311716985309","1.0","24.324324324324326"
"HuPi","7327467","1","10","5","0","0.045454545454545456","0.5002454622667944","1.0","0.0"
"Pjthepiano","12884975","1","0","0","0","-0.5357142857142857","0.0","0.0","0.0"
"Jesi","7705292","1","0","0","0","0.21678321678321677","0.0","0.0","0.0"
"All Hallow's Wraith","5044346","2","0","0","0","-0.4807692307692308","0.0","0.0","0.0"
"WLU","2118749","1","0","0","0","-0.5172413793103449","0.0","0.0","0.0"
"Rich Farmbrough","82835","1","7","0","0","0.8615384615384616","0.995596824338875","1.0","6.306306306306306"
"Ser Amantio di Nicolao","753665","2","5","3","0","0.5","0.9876527664882068","1.0","4.504504504504505"
"Waacstats","1951353","1","0","0","0","0.0","0.0","0.0","0.0"
"All Hallow's Wraith","5044346","2","0","0","0","-0.4807692307692308","0.0","0.0","0.0"
"Contributor7","4423907","1","60","11","0","0.9153225806451613","0.9473454130575863","1.0","17.117117117117118"
"Ekabhishek","1738140","1","3","0","0","0.0","0.96875","1.0","2.7027027027027026"
"RussBot","279219","1","2","2","0","0.0","0.0","0.0","0.0"
"KasparBot","24420788","1","0","0","0","0.0","0.0","0.0","0.0"
"R'n'B","2300502","1","0","0","0","-0.005256241787122208","0.0","0.0","0.0"
"BG19bot","14508071","1","0","0","0","1.0","0.0","0.0","0.0"
