"Content","ID of source revision","Named Entity","Reference","Markup","Position (MathToken)"
"""David""","247017916","PERSON","","bold","/"
"""Siegel""","247017916","PERSON","","bold","/"
"""is""","0","O","","text","/"
"""an""","0","O","","text","/"
"""American""","247017916","O","","text","/"
"""motion""","247017916","O","","text","/"
"""picture""","247017916","O","","text","/"
"""screenwriter""","247017916","O","","text","/"
"""and""","0","O","","text","/"
"""director""","247017916","O","","text","/"
""",""","247017916","O","","text","/"
"""and""","0","O","","text","/"
"""part""","0","O","","text","/"
"""of""","0","O","","text","/"
"""a""","0","O","","text","/"
"""long""","247017916","O","","text","/"
"""-""","247017916","O","","text","/"
"""standing""","247017916","O","","text","/"
"""writing""","247017916","O","","text","/"
"""-""","247017916","O","","text","/"
"""directing""","247017916","O","","text","/"
"""team""","247017916","O","","text","/"
"""with""","0","O","","text","/"
"""filmmaker""","247017916","O","","text","/"
"""Scott""","247017916","PERSON","Scott McGehee","link","/"
"""McGehee""","247017916","PERSON","Scott McGehee","link","/"
""".""","247017916","O","","text","/"
"""His""","247017916","O","","text","/"
"""films""","247017916","O","","text","/"
"""include""","247017916","O","","text","/"
"""Suture""","247017916","O","Suture (film)","link","/"
"""(""","247017916","O","","text","/"
"""1994""","247017916","O","","text","/"
""")""","247017916","O","","text","/"
""",""","247017916","O","","text","/"
"""The""","247017916","O","The Deep End (film)","link","/"
"""Deep""","247017916","O","The Deep End (film)","link","/"
"""End""","247017916","O","The Deep End (film)","link","/"
"""(""","247017916","O","","text","/"
"""2001""","247017916","O","","text","/"
""")""","247017916","O","","text","/"
""",""","247017916","O","","text","/"
"""Bee""","247017916","O","Bee Season (film)","link","/"
"""Season""","247017916","O","Bee Season (film)","link","/"
"""(""","247017916","O","","text","/"
"""2005""","247017916","O","","text","/"
""")""","247017916","O","","text","/"
"""and""","0","O","","text","/"
"""Uncertainty""","247017916","O","Uncertainty (film)","link","/"
"""(""","247017916","O","","text","/"
"""2008""","247017916","O","","text","/"
""")""","247017916","O","","text","/"
""".""","247017916","O","","text","/"
"""David""","247017916","PERSON","","bold","/"
"""Siegel""","247017916","PERSON","","bold","/"
"""is""","0","O","","text","/"
"""a""","0","O","","text","/"
"""billionaire""","251567607","O","","text","/"
"""that""","0","O","","text","/"
"""is""","0","O","","text","/"
"""the""","0","O","","text","/"
"""CEO""","251567607","O","","text","/"
"""of""","0","O","","text","/"
"""West""","251567607","LOCATION","","text","/"
"""Gate""","251567607","LOCATION","","text","/"
"""Resort""","251567607","LOCATION","","text","/"
""".""","247017916","O","","text","/"
"""1""","247017916","O","","header","/"
""".""","247017916","O","","header","/"
"""External""","247017916","O","","header","/"
"""links""","247017916","O","","header","/"
"""Siegel""","247017916","PERSON","American film directors","category","/"
""",""","247017916","O","American film directors","category","/"
"""David""","247017916","PERSON","American film directors","category","/"
"""Siegel""","247017916","PERSON","American screenwriters","category","/"
""",""","247017916","O","American screenwriters","category","/"
"""David""","247017916","PERSON","American screenwriters","category","/"
"""Siegel""","247017916","PERSON","Living people","category","/"
""",""","247017916","O","Living people","category","/"
"""David""","247017916","PERSON","Living people","category","/"
"""American""","247123546","PERSON","American Jews","category","/"
"""Jews""","247123546","PERSON","American Jews","category","/"
