Username,UserId,RevisionCount,WordCount,NECount,MathCount,Average Edit Longevity,Average Text Quality,Content in latest version,Effizienz
Ser Amantio di Nicolao,753665,2,7,3,0,0.5,0.9876527664882067,6.306306306306306,1.0
Camera-On,23733276,1,34,6,0,0.8015768725361366,0.6248661107979319,10.81081081081081,0.0
HuPi,7327467,1,10,5,0,0.045454545454545456,0.5002454622667944,0.0,1.0
Pjthepiano,12884975,1,0,0,0,-0.5357142857142857,0.0,0.0,0.0
Jesi,7705292,1,0,0,0,0.21678321678321677,0.0,0.0,0.0
All Hallow's Wraith,5044346,2,0,0,0,-0.4807692307692308,0.0,0.0,0.0
WLU,2118749,1,0,0,0,-0.5172413793103449,0.0,0.0,0.0
Rich Farmbrough,82835,1,7,0,0,0.8615384615384616,0.9924536001722422,4.504504504504505,1.0
Ser Amantio di Nicolao,753665,2,7,3,0,0.5,0.9876527664882067,6.306306306306306,1.0
Waacstats,1951353,1,0,0,0,0.0,0.0,0.0,0.0
All Hallow's Wraith,5044346,2,0,0,0,-0.4807692307692308,0.0,0.0,0.0
Contributor7,4423907,1,60,11,0,0.9153225806451613,0.9473454130575863,16.216216216216218,1.0
Ekabhishek,1738140,1,3,0,0,0.0,0.96875,2.7027027027027026,1.0
RussBot,279219,1,2,2,0,0.0,0.0,0.0,0.0
KasparBot,24420788,1,0,0,0,0.0,0.0,0.0,0.0
R'n'B,2300502,1,0,0,0,-0.005256241787122208,0.0,0.0,0.0
BG19bot,14508071,1,22,6,0,1.0,0.9867908700585739,19.81981981981982,1.0
