"Timestamp","Username","RussBot",,,"BG19bot",,"Contributor7","KasparBot",,,"Jesi","Rich Farmbrough","Ser Amantio di Nicolao","Ser Amantio di Nicolao",,,"WLU","Ekabhishek","All Hallow's Wraith","HuPi","Waacstats",,"Camera-On","All Hallow's Wraith","R'n'B","Pjthepiano"
"2008-10-22T20:08:47Z","Contributor7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2008-10-23T07:20:22Z","RussBot","0","0","0","0","0","62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2008-11-13T15:21:46Z",,"2","0","0","0","0","61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2008-11-19T20:57:29Z",,"2","7","7","0","7","68","0","7","7","0","0","0","0","7","7","0","0","0","0","0","7","0","0","0","0"
"2008-11-19T21:02:00Z",,"2","0","0","0","0","61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2009-08-07T15:52:20Z","All Hallow's Wraith","2","26","26","0","26","54","0","26","26","0","0","0","0","26","26","0","0","0","0","0","26","0","0","0","0"
"2010-05-13T02:25:40Z","Jesi","0","25","25","0","25","54","0","25","25","0","0","0","0","25","25","0","0","1","0","0","25","0","1","0","0"
"2012-01-23T12:40:19Z","Rich Farmbrough","0","25","25","0","25","54","0","25","25","0","0","0","0","25","25","0","0","1","0","0","25","0","1","0","0"
"2012-08-25T18:14:43Z","HuPi","0","25","25","0","25","45","0","25","25","0","7","0","0","25","25","0","0","1","0","0","25","0","1","0","0"
"2012-09-11T16:34:43Z",,"0","25","25","0","25","50","0","25","25","0","7","0","0","25","25","0","0","1","11","0","25","0","1","0","0"
"2012-10-11T19:15:44Z",,"0","36","36","0","36","54","0","36","36","0","7","0","0","36","36","0","0","0","10","0","36","0","0","0","0"
"2012-10-11T19:17:42Z","Pjthepiano","0","43","43","0","43","56","0","43","43","0","7","0","0","43","43","0","0","0","10","0","43","0","0","0","0"
"2012-11-18T00:50:23Z",,"0","36","36","0","36","54","0","36","36","0","7","0","0","36","36","0","0","0","10","0","36","0","0","0","0"
"2012-11-18T02:39:41Z","WLU","0","39","39","0","39","54","0","39","39","0","7","0","0","39","39","0","0","0","7","0","39","0","0","0","0"
"2012-12-16T00:35:31Z","Ser Amantio di Nicolao","0","35","35","0","35","47","0","35","35","0","7","0","0","35","35","0","0","0","0","0","35","0","0","0","0"
"2013-03-24T17:13:14Z","Waacstats","0","35","35","0","35","47","0","35","35","0","7","4","4","35","35","0","0","0","0","0","35","0","0","0","0"
"2013-05-02T10:23:07Z","All Hallow's Wraith","0","35","35","0","35","47","0","35","35","0","7","4","4","35","35","0","0","0","0","0","35","0","0","0","0"
"2013-08-08T22:08:58Z",,"0","35","35","0","35","47","0","35","35","0","7","4","4","35","35","0","0","0","0","0","35","0","0","0","0"
"2013-08-09T19:55:20Z","R'n'B","0","35","35","0","35","47","0","35","35","0","7","4","4","35","35","0","0","0","0","0","35","0","0","0","0"
"2015-01-09T17:57:32Z","Camera-On","0","35","35","0","35","47","0","35","35","0","7","4","4","35","35","0","0","0","0","0","35","0","0","0","0"
"2015-01-10T06:51:57Z","BG19bot","0","29","29","0","29","24","0","29","29","0","7","4","4","29","29","0","0","0","0","0","29","27","0","0","0"
"2015-01-13T16:26:04Z",,"0","29","29","0","29","24","0","29","29","0","7","4","4","29","29","0","0","0","0","0","29","27","0","0","0"
"2015-04-22T04:45:50Z","Ser Amantio di Nicolao","0","29","29","0","29","24","0","29","29","0","7","4","4","29","29","0","0","0","0","0","29","27","0","0","0"
"2015-05-29T04:18:51Z","Ekabhishek","0","29","29","0","29","24","0","29","29","0","5","7","7","29","29","0","0","0","0","0","29","27","0","0","0"
"2016-04-15T08:34:16Z","KasparBot","0","29","29","0","29","24","0","29","29","0","5","6","6","29","29","0","4","0","0","0","29","27","0","0","0"
