Content,ID of source revision,Named Entity,Reference,Markup,Position (MathToken)
"""Eigenvalue""",121656077,O,,bold,/
"""perturbation""",121656077,O,,bold,/
"""is""",0,O,,text,/
"""a""",0,O,,text,/
"""perturbation""",121656077,O,perturbation theory,link,/
"""approach""",121656077,O,,text,/
"""to""",0,O,,text,/
"""solving""",121656077,O,,text,/
"""eigenvalues""",121656077,O,Eigenvector,link,/
"""and""",0,O,Eigenvector,link,/
"""eigenvectors""",121656077,O,Eigenvector,link,/
"""of""",0,O,,text,/
"""systems""",121656077,O,,text,/
"""perturbed""",121656077,O,,text,/
"""from""",0,O,,text,/
"""one""",0,O,,text,/
"""with""",0,O,,text,/
"""known""",121656077,O,,text,/
"""eigenvectors""",121656077,O,,text,/
"""and""",0,O,,text,/
"""eigenvalues""",121656077,O,,text,/
""".""",121656077,O,,text,/
"""It""",121656077,O,,text,/
"""also""",0,O,,text,/
"""allows""",121656077,O,,text,/
"""one""",0,O,,text,/
"""to""",0,O,,text,/
"""determine""",121656077,O,,text,/
"""the""",0,O,,text,/
"""sensitivity""",121656077,O,,text,/
"""of""",0,O,,text,/
"""the""",0,O,,text,/
"""eigenvalues""",121656077,O,,text,/
"""and""",0,O,,text,/
"""eigenvectors""",121656077,O,,text,/
"""with""",0,O,,text,/
"""respect""",121656077,O,,text,/
"""to""",0,O,,text,/
"""changes""",121656077,O,,text,/
"""in""",0,O,,text,/
"""the""",0,O,,text,/
"""system""",0,O,,text,/
""".""",121656077,O,,text,/
"""1""",121656077,O,,header,/
""".""",121656077,O,,header,/
"""Example""",121656077,O,,header,/
"""Suppose""",121656077,O,,text,/
"""we""",0,O,,text,/
"""have""",0,O,,text,/
"""solutions""",121656077,O,,text,/
"""to""",0,O,,text,/
"""the""",0,O,,text,/
"""generalized""",121656077,O,generalized eigenvalue problem,link,/
"""eigenvalue""",121656077,O,generalized eigenvalue problem,link,/
"""problem""",121656077,O,generalized eigenvalue problem,link,/
""",""",121656077,O,,text,/
"""[""",121656077,O,[K_0] \mathbf{x}_{0i} = \lambda_{0i} [M_0] \mathbf{x}_{0i} \qquad (1),math,0
"""K""",121656077,O,[K_0] \mathbf{x}_{0i} = \lambda_{0i} [M_0] \mathbf{x}_{0i} \qquad (1),math,1
"""_""",121656077,O,[K_0] \mathbf{x}_{0i} = \lambda_{0i} [M_0] \mathbf{x}_{0i} \qquad (1),math,2
"""0""",121656077,O,[K_0] \mathbf{x}_{0i} = \lambda_{0i} [M_0] \mathbf{x}_{0i} \qquad (1),math,3
"""]""",121656077,O,[K_0] \mathbf{x}_{0i} = \lambda_{0i} [M_0] \mathbf{x}_{0i} \qquad (1),math,4
"""\""",121656077,O,[K_0] \mathbf{x}_{0i} = \lambda_{0i} [M_0] \mathbf{x}_{0i} \qquad (1),math,5
"""mathbf""",121656077,O,[K_0] \mathbf{x}_{0i} = \lambda_{0i} [M_0] \mathbf{x}_{0i} \qquad (1),math,6
"""{""",121656077,O,[K_0] \mathbf{x}_{0i} = \lambda_{0i} [M_0] \mathbf{x}_{0i} \qquad (1),math,7
"""x""",121656077,O,[K_0] \mathbf{x}_{0i} = \lambda_{0i} [M_0] \mathbf{x}_{0i} \qquad (1),math,8
"""}""",121656077,O,[K_0] \mathbf{x}_{0i} = \lambda_{0i} [M_0] \mathbf{x}_{0i} \qquad (1),math,9
"""_""",121656077,O,[K_0] \mathbf{x}_{0i} = \lambda_{0i} [M_0] \mathbf{x}_{0i} \qquad (1),math,10
"""{""",121656077,O,[K_0] \mathbf{x}_{0i} = \lambda_{0i} [M_0] \mathbf{x}_{0i} \qquad (1),math,11
"""0i""",121656077,O,[K_0] \mathbf{x}_{0i} = \lambda_{0i} [M_0] \mathbf{x}_{0i} \qquad (1),math,12
"""}""",121656077,O,[K_0] \mathbf{x}_{0i} = \lambda_{0i} [M_0] \mathbf{x}_{0i} \qquad (1),math,13
"""=""",121656077,O,[K_0] \mathbf{x}_{0i} = \lambda_{0i} [M_0] \mathbf{x}_{0i} \qquad (1),math,14
