"Content","Info","Reference","Editor","Source Index","Source Timestamp"
"David","PERSON","David Siegel ","Contributor7","0","2008-10-22T20:08:47.000Z"
"Siegel","PERSON","David Siegel ","Contributor7","0","2008-10-22T20:08:47.000Z"
"is","text","","","-1","2016-12-13T10:10:31.020+01:00"
"an","text","","","-1","2016-12-13T10:10:31.020+01:00"
"American","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"film","text","","Camera-On","19","2015-01-09T17:57:32.000Z"
"director","text","","Camera-On","19","2015-01-09T17:57:32.000Z"
"and","text","","","-1","2016-12-13T10:10:33.227+01:00"
"screenwriter","text","","Camera-On","19","2015-01-09T17:57:32.000Z"
"and","text","","","-1","2016-12-13T10:10:33.227+01:00"
"producer","text","","Camera-On","19","2015-01-09T17:57:32.000Z"
",","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"and","text","","","-1","2016-12-13T10:10:31.020+01:00"
"part","text","","","-1","2016-12-13T10:10:31.020+01:00"
"of","text","","","-1","2016-12-13T10:10:31.020+01:00"
"a","text","","","-1","2016-12-13T10:10:31.020+01:00"
"long","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"-","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"standing","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"writing","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"-","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"directing","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"-","text","","Camera-On","19","2015-01-09T17:57:32.000Z"
"producing","text","","Camera-On","19","2015-01-09T17:57:32.000Z"
"team","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"with","text","","","-1","2016-12-13T10:10:31.020+01:00"
"filmmaker","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"Scott","PERSON","Scott McGehee ","Contributor7","0","2008-10-22T20:08:47.000Z"
"McGehee","PERSON","Scott McGehee ","Contributor7","0","2008-10-22T20:08:47.000Z"
".","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"1","header","","69.200.246.188","4","2008-11-19T21:02:00.000Z"
".","header","","69.200.246.188","4","2008-11-19T21:02:00.000Z"
"Filmography","header","","69.200.246.188","4","2008-11-19T21:02:00.000Z"
"1","header","","Camera-On","19","2015-01-09T17:57:32.000Z"
".","header","","Contributor7","0","2008-10-22T20:08:47.000Z"
"1","header","","69.200.246.188","4","2008-11-19T21:02:00.000Z"
".","header","","69.200.246.188","4","2008-11-19T21:02:00.000Z"
"Feature","header","","Camera-On","19","2015-01-09T17:57:32.000Z"
"films","header","","Camera-On","19","2015-01-09T17:57:32.000Z"
"2","header","","69.200.246.188","4","2008-11-19T21:02:00.000Z"
".","header","","69.200.246.188","4","2008-11-19T21:02:00.000Z"
"Interviews","header","","69.200.246.188","4","2008-11-19T21:02:00.000Z"
"Filmmaker","extern","http : / / www . filmmakermagazine . com / news / 2009 / 11 / david - siegel - and - scott - mcgehee - uncertainty / Filmmaker Magazine interview : "" David Siegel and Scott McGehee , ' Uncertainty ' ""","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"Magazine","extern","http : / / www . filmmakermagazine . com / news / 2009 / 11 / david - siegel - and - scott - mcgehee - uncertainty / Filmmaker Magazine interview : "" David Siegel and Scott McGehee , ' Uncertainty ' ""","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"interview","extern","http : / / www . filmmakermagazine . com / news / 2009 / 11 / david - siegel - and - scott - mcgehee - uncertainty / Filmmaker Magazine interview : "" David Siegel and Scott McGehee , ' Uncertainty ' ""","69.200.246.188","4","2008-11-19T21:02:00.000Z"
":","extern","http : / / www . filmmakermagazine . com / news / 2009 / 11 / david - siegel - and - scott - mcgehee - uncertainty / Filmmaker Magazine interview : "" David Siegel and Scott McGehee , ' Uncertainty ' ""","69.200.246.188","4","2008-11-19T21:02:00.000Z"
"""","extern","http : / / www . filmmakermagazine . com / news / 2009 / 11 / david - siegel - and - scott - mcgehee - uncertainty / Filmmaker Magazine interview : "" David Siegel and Scott McGehee , ' Uncertainty ' ""","69.200.246.188","4","2008-11-19T21:02:00.000Z"
"David","PERSON","David Siegel ","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"Siegel","PERSON","David Siegel ","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"and","extern","http : / / www . filmmakermagazine . com / news / 2009 / 11 / david - siegel - and - scott - mcgehee - uncertainty / Filmmaker Magazine interview : "" David Siegel and Scott McGehee , ' Uncertainty ' ""","","-1","2016-12-13T10:10:32.596+01:00"
"Scott","PERSON","Scott McGehee ","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"McGehee","PERSON","Scott McGehee ","72.229.19.102","9","2012-09-11T16:34:43.000Z"
",","extern","http : / / www . filmmakermagazine . com / news / 2009 / 11 / david - siegel - and - scott - mcgehee - uncertainty / Filmmaker Magazine interview : "" David Siegel and Scott McGehee , ' Uncertainty ' ""","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"'","extern","http : / / www . filmmakermagazine . com / news / 2009 / 11 / david - siegel - and - scott - mcgehee - uncertainty / Filmmaker Magazine interview : "" David Siegel and Scott McGehee , ' Uncertainty ' ""","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"Uncertainty","extern","http : / / www . filmmakermagazine . com / news / 2009 / 11 / david - siegel - and - scott - mcgehee - uncertainty / Filmmaker Magazine interview : "" David Siegel and Scott McGehee , ' Uncertainty ' ""","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"'","extern","http : / / www . filmmakermagazine . com / news / 2009 / 11 / david - siegel - and - scott - mcgehee - uncertainty / Filmmaker Magazine interview : "" David Siegel and Scott McGehee , ' Uncertainty ' ""","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"""","extern","http : / / www . filmmakermagazine . com / news / 2009 / 11 / david - siegel - and - scott - mcgehee - uncertainty / Filmmaker Magazine interview : "" David Siegel and Scott McGehee , ' Uncertainty ' ""","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"Time","extern","http : / / http : / / www . timeout . com / newyork / film / tony - q - a - what - maisie - knews - scott - mcgehee - and - david - siegel / Time Out New York interview : "" TONY Q & A : What Maisie Knew ’ s Scott McGehee and David Siegel ""","Camera-On","19","2015-01-09T17:57:32.000Z"
"Out","extern","http : / / http : / / www . timeout . com / newyork / film / tony - q - a - what - maisie - knews - scott - mcgehee - and - david - siegel / Time Out New York interview : "" TONY Q & A : What Maisie Knew ’ s Scott McGehee and David Siegel ""","Camera-On","19","2015-01-09T17:57:32.000Z"
"New","LOCATION","New York ","Camera-On","19","2015-01-09T17:57:32.000Z"
"York","LOCATION","New York ","Camera-On","19","2015-01-09T17:57:32.000Z"
"interview","extern","http : / / http : / / www . timeout . com / newyork / film / tony - q - a - what - maisie - knews - scott - mcgehee - and - david - siegel / Time Out New York interview : "" TONY Q & A : What Maisie Knew ’ s Scott McGehee and David Siegel ""","69.200.246.188","4","2008-11-19T21:02:00.000Z"
":","extern","http : / / http : / / www . timeout . com / newyork / film / tony - q - a - what - maisie - knews - scott - mcgehee - and - david - siegel / Time Out New York interview : "" TONY Q & A : What Maisie Knew ’ s Scott McGehee and David Siegel ""","69.200.246.188","4","2008-11-19T21:02:00.000Z"
"""","extern","http : / / http : / / www . timeout . com / newyork / film / tony - q - a - what - maisie - knews - scott - mcgehee - and - david - siegel / Time Out New York interview : "" TONY Q & A : What Maisie Knew ’ s Scott McGehee and David Siegel ""","69.200.246.188","4","2008-11-19T21:02:00.000Z"
"TONY","extern","http : / / http : / / www . timeout . com / newyork / film / tony - q - a - what - maisie - knews - scott - mcgehee - and - david - siegel / Time Out New York interview : "" TONY Q & A : What Maisie Knew ’ s Scott McGehee and David Siegel ""","Camera-On","19","2015-01-09T17:57:32.000Z"
"Q","extern","http : / / http : / / www . timeout . com / newyork / film / tony - q - a - what - maisie - knews - scott - mcgehee - and - david - siegel / Time Out New York interview : "" TONY Q & A : What Maisie Knew ’ s Scott McGehee and David Siegel ""","Camera-On","19","2015-01-09T17:57:32.000Z"
"&","extern","http : / / http : / / www . timeout . com / newyork / film / tony - q - a - what - maisie - knews - scott - mcgehee - and - david - siegel / Time Out New York interview : "" TONY Q & A : What Maisie Knew ’ s Scott McGehee and David Siegel ""","Camera-On","19","2015-01-09T17:57:32.000Z"
"A","extern","http : / / http : / / www . timeout . com / newyork / film / tony - q - a - what - maisie - knews - scott - mcgehee - and - david - siegel / Time Out New York interview : "" TONY Q & A : What Maisie Knew ’ s Scott McGehee and David Siegel ""","Camera-On","19","2015-01-09T17:57:32.000Z"
":","extern","http : / / http : / / www . timeout . com / newyork / film / tony - q - a - what - maisie - knews - scott - mcgehee - and - david - siegel / Time Out New York interview : "" TONY Q & A : What Maisie Knew ’ s Scott McGehee and David Siegel ""","Camera-On","19","2015-01-09T17:57:32.000Z"
"What","extern","http : / / http : / / www . timeout . com / newyork / film / tony - q - a - what - maisie - knews - scott - mcgehee - and - david - siegel / Time Out New York interview : "" TONY Q & A : What Maisie Knew ’ s Scott McGehee and David Siegel ""","Camera-On","19","2015-01-09T17:57:32.000Z"
"Maisie","extern","http : / / http : / / www . timeout . com / newyork / film / tony - q - a - what - maisie - knews - scott - mcgehee - and - david - siegel / Time Out New York interview : "" TONY Q & A : What Maisie Knew ’ s Scott McGehee and David Siegel ""","Camera-On","19","2015-01-09T17:57:32.000Z"
"Knew","extern","http : / / http : / / www . timeout . com / newyork / film / tony - q - a - what - maisie - knews - scott - mcgehee - and - david - siegel / Time Out New York interview : "" TONY Q & A : What Maisie Knew ’ s Scott McGehee and David Siegel ""","Camera-On","19","2015-01-09T17:57:32.000Z"
"’","extern","http : / / http : / / www . timeout . com / newyork / film / tony - q - a - what - maisie - knews - scott - mcgehee - and - david - siegel / Time Out New York interview : "" TONY Q & A : What Maisie Knew ’ s Scott McGehee and David Siegel ""","Camera-On","19","2015-01-09T17:57:32.000Z"
"s","extern","http : / / http : / / www . timeout . com / newyork / film / tony - q - a - what - maisie - knews - scott - mcgehee - and - david - siegel / Time Out New York interview : "" TONY Q & A : What Maisie Knew ’ s Scott McGehee and David Siegel ""","Camera-On","19","2015-01-09T17:57:32.000Z"
"Scott","PERSON","Scott McGehee ","Camera-On","19","2015-01-09T17:57:32.000Z"
"McGehee","PERSON","Scott McGehee ","Camera-On","19","2015-01-09T17:57:32.000Z"
"and","extern","http : / / http : / / www . timeout . com / newyork / film / tony - q - a - what - maisie - knews - scott - mcgehee - and - david - siegel / Time Out New York interview : "" TONY Q & A : What Maisie Knew ’ s Scott McGehee and David Siegel ""","","-1","2016-12-13T10:10:33.227+01:00"
"David","PERSON","David Siegel ","Camera-On","19","2015-01-09T17:57:32.000Z"
"Siegel","PERSON","David Siegel ","Camera-On","19","2015-01-09T17:57:32.000Z"
"""","extern","http : / / http : / / www . timeout . com / newyork / film / tony - q - a - what - maisie - knews - scott - mcgehee - and - david - siegel / Time Out New York interview : "" TONY Q & A : What Maisie Knew ’ s Scott McGehee and David Siegel ""","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"3","header","","69.200.246.188","4","2008-11-19T21:02:00.000Z"
".","header","","Contributor7","0","2008-10-22T20:08:47.000Z"
"External","header","","Contributor7","0","2008-10-22T20:08:47.000Z"
"links","header","","Contributor7","0","2008-10-22T20:08:47.000Z"
"American","category","American film directors","Rich Farmbrough","7","2012-01-23T12:40:19.000Z"
"film","category","American film directors","Rich Farmbrough","7","2012-01-23T12:40:19.000Z"
"directors","category","American film directors","Rich Farmbrough","7","2012-01-23T12:40:19.000Z"
"American","category","American screenwriters","Rich Farmbrough","7","2012-01-23T12:40:19.000Z"
"screenwriters","category","American screenwriters","Rich Farmbrough","7","2012-01-23T12:40:19.000Z"
"Living","category","Living people","Rich Farmbrough","7","2012-01-23T12:40:19.000Z"
"people","category","Living people","Rich Farmbrough","7","2012-01-23T12:40:19.000Z"
"People","category","People from Orange County , California","69.200.246.188","4","2008-11-19T21:02:00.000Z"
"from","category","People from Orange County , California","","-1","2016-12-13T10:10:32.336+01:00"
"Orange","LOCATION","Orange County ","69.200.246.188","4","2008-11-19T21:02:00.000Z"
"County","LOCATION","Orange County ","69.200.246.188","4","2008-11-19T21:02:00.000Z"
",","category","People from Orange County , California","69.200.246.188","4","2008-11-19T21:02:00.000Z"
"California","ORGANIZATION","California University of California , Berkeley alumni Film ","Ser Amantio di Nicolao","14","2012-12-16T00:35:31.000Z"
"University","ORGANIZATION","California University of California , Berkeley alumni Film ","Ser Amantio di Nicolao","14","2012-12-16T00:35:31.000Z"
"of","ORGANIZATION","California University of California , Berkeley alumni Film ","Ser Amantio di Nicolao","14","2012-12-16T00:35:31.000Z"
"California","ORGANIZATION","California University of California , Berkeley alumni Film ","Ser Amantio di Nicolao","14","2012-12-16T00:35:31.000Z"
",","ORGANIZATION","California University of California , Berkeley alumni Film ","Ser Amantio di Nicolao","14","2012-12-16T00:35:31.000Z"
"Berkeley","ORGANIZATION","California University of California , Berkeley alumni Film ","Ser Amantio di Nicolao","14","2012-12-16T00:35:31.000Z"
"alumni","ORGANIZATION","California University of California , Berkeley alumni Film ","Ser Amantio di Nicolao","14","2012-12-16T00:35:31.000Z"
"Film","ORGANIZATION","California University of California , Berkeley alumni Film ","Ser Amantio di Nicolao","14","2012-12-16T00:35:31.000Z"
"directors","category","Film directors from California","Ser Amantio di Nicolao","14","2012-12-16T00:35:31.000Z"
"from","category","Film directors from California","","-1","2016-12-13T10:10:32.933+01:00"
"California","LOCATION","California ","Ser Amantio di Nicolao","14","2012-12-16T00:35:31.000Z"
