"Index","Pagetitle","Time","Editor","MathForm (ALL)","NEs (ALL)","Links (ALL)","Categs (ALL)","Files (ALL)","Heads (ALL)","MathForm (IN)","NEs (IN)","Links (IN)","Categs (IN)","Files (IN)","Heads (IN)","Text D (0.6)","Text W (0.6)","Text 2W (0.6)","Text 4W (0.6)","Edit D (0.6)","Edit W (0.6)","Edit 2W (0.6)","Edit 4W (0.6)"
"17","Eigenvalue perturbation","2008-07-24T17:30:12.000Z","Giftlite","50","0","13","4","0","12","1","0","0","0","0","0","true","true","true","true","false","false","false","false"
"16","Eigenvalue perturbation","2008-07-24T17:29:08.000Z","Michael Hardy","50","0","13","4","0","12","5","0","0","0","0","0","true","true","true","true","true","true","true","true"
"9","Eigenvalue perturbation","2007-12-02T11:09:26.000Z","81.108.234.28","46","1","12","2","0","12","0","1","0","0","0","0","true","true","true","true","false","false","false","false"
"18","Eigenvalue perturbation","2008-11-03T18:23:02.000Z","SmackBot","50","0","13","4","0","12","0","0","0","0","0","0","false","false","false","false","false","false","false","false"
"10","Eigenvalue perturbation","2007-12-02T11:10:23.000Z","81.108.234.28","46","0","13","2","0","12","0","0","1","0","0","0","true","true","true","true","true","true","true","true"
"3","Eigenvalue perturbation","2007-04-10T18:54:36.000Z","128.113.131.145","46","0","13","2","0","12","0","0","0","0","0","0","false","false","false","false","false","false","false","false"
"6","Eigenvalue perturbation","2007-04-29T14:57:23.000Z","BenFrantzDale","46","0","13","2","0","12","1","0","0","0","0","0","true","true","true","true","false","false","false","false"
"4","Eigenvalue perturbation","2007-04-12T03:45:37.000Z","Jmath666","46","0","13","2","0","12","0","0","0","0","0","0","false","false","false","false","false","false","false","false"
"2","Eigenvalue perturbation","2007-04-10T18:52:59.000Z","128.113.131.145","46","0","13","2","0","12","1","0","0","0","0","0","true","true","true","true","false","false","false","false"
"0","Eigenvalue perturbation","2007-04-10T11:56:31.000Z","BenFrantzDale","43","0","13","2","0","12","43","0","13","2","0","12","false","false","false","false","false","false","false","false"
"8","Eigenvalue perturbation","2007-05-10T11:02:49.000Z","SmackBot","46","0","13","2","0","12","0","0","0","0","0","0","false","false","false","false","true","true","true","true"
"7","Eigenvalue perturbation","2007-05-09T22:42:18.000Z","Essap","46","0","13","2","0","12","0","0","0","0","0","0","false","false","false","false","false","false","false","false"
"5","Eigenvalue perturbation","2007-04-12T18:29:45.000Z","SmackBot","46","0","13","2","0","12","0","0","0","0","0","0","false","false","false","false","false","false","false","false"
"15","Eigenvalue perturbation","2008-07-24T17:28:34.000Z","Arthur Rubin","50","0","13","4","0","12","0","0","0","2","0","0","true","true","true","true","false","false","false","false"
"13","Eigenvalue perturbation","2008-07-24T17:25:31.000Z","Arthur Rubin","50","0","13","2","0","12","0","0","0","0","0","0","false","false","false","false","true","true","true","true"
"11","Eigenvalue perturbation","2008-05-27T20:09:04.000Z","152.14.96.220","46","0","13","2","0","12","0","0","0","0","0","0","false","false","false","false","false","false","false","false"
"1","Eigenvalue perturbation","2007-04-10T18:52:23.000Z","128.113.131.145","46","0","13","2","0","12","7","0","0","0","0","0","true","true","true","true","true","true","true","true"
"14","Eigenvalue perturbation","2008-07-24T17:27:09.000Z","Michael Hardy","50","0","13","2","0","12","0","0","0","0","0","0","true","true","true","true","false","false","false","false"
"19","Eigenvalue perturbation","2009-07-28T07:34:52.000Z","BenFrantzDale","50","0","13","4","0","12","16","0","0","0","0","0","false","false","false","false","false","false","false","false"
"12","Eigenvalue perturbation","2008-07-24T17:09:00.000Z","Bruguiea","50","0","13","2","0","12","8","0","0","0","0","0","true","true","true","true","true","true","true","true"
