Index,Pagetitle,Time,Editor,MathForm (ALL),NEs (ALL),Links (ALL),Categs (ALL),Files (ALL),Heads (ALL),MathForm (IN),NEs (IN),Links (IN),Categs (IN),Files (IN),Heads (IN)
0,Eigenvalue perturbation,2007-04-10T11:56:31.000Z,BenFrantzDale,43,0,13,2,0,12,43,0,13,2,0,12
1,Eigenvalue perturbation,2007-04-10T18:52:23.000Z,128113131145,46,0,13,2,0,12,7,0,0,0,0,0
2,Eigenvalue perturbation,2007-04-10T18:52:59.000Z,128113131145,46,0,13,2,0,12,1,0,0,0,0,0
3,Eigenvalue perturbation,2007-04-10T18:54:36.000Z,128113131145,46,0,13,2,0,12,0,0,0,0,0,0
4,Eigenvalue perturbation,2007-04-12T03:45:37.000Z,Jmath666,46,0,13,2,0,12,0,0,0,0,0,0
5,Eigenvalue perturbation,2007-04-12T18:29:45.000Z,SmackBot,46,0,13,2,0,12,0,0,0,0,0,0
6,Eigenvalue perturbation,2007-04-29T14:57:23.000Z,BenFrantzDale,46,0,13,2,0,12,1,0,0,0,0,0
7,Eigenvalue perturbation,2007-05-09T22:42:18.000Z,Essap,46,0,13,2,0,12,0,0,0,0,0,0
8,Eigenvalue perturbation,2007-05-10T11:02:49.000Z,SmackBot,46,0,13,2,0,12,0,0,0,0,0,0
9,Eigenvalue perturbation,2007-12-02T11:09:26.000Z,81.108.234.28,46,1,12,2,0,12,0,1,0,0,0,0
10,Eigenvalue perturbation,2007-12-02T11:10:23.000Z,81.108.234.28,46,0,13,2,0,12,0,0,1,0,0,0
11,Eigenvalue perturbation,2008-05-27T20:09:04.000Z,152.14.96.220,46,0,13,2,0,12,0,0,0,0,0,0
12,Eigenvalue perturbation,2008-07-24T17:09:00.000Z,Bruguiea,50,0,13,2,0,12,8,0,0,0,0,0
13,Eigenvalue perturbation,2008-07-24T17:25:31.000Z,Arthur Rubin,50,0,13,2,0,12,0,0,0,0,0,0
14,Eigenvalue perturbation,2008-07-24T17:27:09.000Z,Michael Hardy,50,0,13,2,0,12,0,0,0,0,0,0
15,Eigenvalue perturbation,2008-07-24T17:28:34.000Z,Arthur Rubin,50,0,13,4,0,12,0,0,0,2,0,0
16,Eigenvalue perturbation,2008-07-24T17:29:08.000Z,Michael Hardy,50,0,13,4,0,12,5,0,0,0,0,0
17,Eigenvalue perturbation,2008-07-24T17:30:12.000Z,Giftlite,50,0,13,4,0,12,1,0,0,0,0,0
18,Eigenvalue perturbation,2008-11-03T18:23:02.000Z,SmackBot,50,0,13,4,0,12,0,0,0,0,0,0
19,Eigenvalue perturbation,2009-07-28T07:34:52.000Z,BenFrantzDale,50,0,13,4,0,12,16,0,0,0,0,0
