"Content","Info","Reference","Editor","Source Index","Source Timestamp"
"David","PERSON","David Siegel ","Contributor7","0","2008-10-22T20:08:47.000Z"
"Siegel","PERSON","David Siegel ","Contributor7","0","2008-10-22T20:08:47.000Z"
"is","text","","","-1","2016-12-13T10:02:37.822+01:00"
"an","text","","","-1","2016-12-13T10:02:37.822+01:00"
"American","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"motion","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"picture","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"screenwriter","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"and","text","","","-1","2016-12-13T10:02:37.822+01:00"
"director","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
",","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"and","text","","","-1","2016-12-13T10:02:37.822+01:00"
"part","text","","","-1","2016-12-13T10:02:37.822+01:00"
"of","text","","","-1","2016-12-13T10:02:37.822+01:00"
"a","text","","","-1","2016-12-13T10:02:37.822+01:00"
"long","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"-","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"standing","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"writing","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"-","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"directing","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"team","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"with","text","","","-1","2016-12-13T10:02:37.822+01:00"
"filmmaker","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"Scott","PERSON","Scott McGehee ","Contributor7","0","2008-10-22T20:08:47.000Z"
"McGehee","PERSON","Scott McGehee ","Contributor7","0","2008-10-22T20:08:47.000Z"
".","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"(","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"Not","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"to","text","","","-1","2016-12-13T10:02:39.301+01:00"
"be","text","","","-1","2016-12-13T10:02:39.301+01:00"
"confused","text","","HuPi","8","2012-08-25T18:14:43.000Z"
"with","text","","","-1","2016-12-13T10:02:39.301+01:00"
"David","PERSON","David A ","HuPi","8","2012-08-25T18:14:43.000Z"
"A","PERSON","David A ","HuPi","8","2012-08-25T18:14:43.000Z"
".","text","","HuPi","8","2012-08-25T18:14:43.000Z"
"Siegel","PERSON","Siegel ","HuPi","8","2012-08-25T18:14:43.000Z"
",","text","","HuPi","8","2012-08-25T18:14:43.000Z"
"founder","text","","HuPi","8","2012-08-25T18:14:43.000Z"
"and","text","","","-1","2016-12-13T10:02:39.301+01:00"
"CEO","text","","HuPi","8","2012-08-25T18:14:43.000Z"
"of","text","","","-1","2016-12-13T10:02:39.301+01:00"
"Westgate","ORGANIZATION","Westgate Resorts ","HuPi","8","2012-08-25T18:14:43.000Z"
"Resorts","ORGANIZATION","Westgate Resorts ","HuPi","8","2012-08-25T18:14:43.000Z"
".","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
")","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"1","header","","69.200.246.188","4","2008-11-19T21:02:00.000Z"
".","header","","69.200.246.188","4","2008-11-19T21:02:00.000Z"
"Filmography","header","","69.200.246.188","4","2008-11-19T21:02:00.000Z"
"Suture","link","Suture ( film )","Contributor7","0","2008-10-22T20:08:47.000Z"
"(","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"1994","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
")","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"The","link","The Deep End ( film )","Contributor7","0","2008-10-22T20:08:47.000Z"
"Deep","link","The Deep End ( film )","Contributor7","0","2008-10-22T20:08:47.000Z"
"End","link","The Deep End ( film )","Contributor7","0","2008-10-22T20:08:47.000Z"
"(","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"2001","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
")","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"Bee","link","Bee Season ( film )","Contributor7","0","2008-10-22T20:08:47.000Z"
"Season","link","Bee Season ( film )","Contributor7","0","2008-10-22T20:08:47.000Z"
"(","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"2005","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
")","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"Uncertainty","link","Uncertainty ( film )","Contributor7","0","2008-10-22T20:08:47.000Z"
"(","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"2008","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
")","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"What","link","What Maisie Knew ( film )","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"Maisie","PERSON","Maisie Knew ","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"Knew","PERSON","Maisie Knew ","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"(","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"2012","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
")","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"D","link","D - Bag who threatened his employees . ( film )","50.47.55.60","10","2012-10-11T19:15:44.000Z"
"-","link","D - Bag who threatened his employees . ( film )","50.47.55.60","10","2012-10-11T19:15:44.000Z"
"Bag","link","D - Bag who threatened his employees . ( film )","50.47.55.60","10","2012-10-11T19:15:44.000Z"
"who","link","D - Bag who threatened his employees . ( film )","","-1","2016-12-13T10:02:39.427+01:00"
"threatened","link","D - Bag who threatened his employees . ( film )","50.47.55.60","10","2012-10-11T19:15:44.000Z"
"his","link","D - Bag who threatened his employees . ( film )","","-1","2016-12-13T10:02:39.427+01:00"
"employees","link","D - Bag who threatened his employees . ( film )","50.47.55.60","10","2012-10-11T19:15:44.000Z"
".","link","D - Bag who threatened his employees . ( film )","50.47.55.60","10","2012-10-11T19:15:44.000Z"
"(","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"2012","text","","72.229.19.102","9","2012-09-11T16:34:43.000Z"
")","text","","Contributor7","0","2008-10-22T20:08:47.000Z"
"2","header","","69.200.246.188","4","2008-11-19T21:02:00.000Z"
".","header","","69.200.246.188","4","2008-11-19T21:02:00.000Z"
"Interviews","header","","69.200.246.188","4","2008-11-19T21:02:00.000Z"
"Filmmaker","extern","http : / / www . filmmakermagazine . com / news / 2009 / 11 / david - siegel - and - scott - mcgehee - uncertainty / Filmmaker Magazine interview : "" David Siegel and Scott McGehee , ' Uncertainty ' ""","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"Magazine","extern","http : / / www . filmmakermagazine . com / news / 2009 / 11 / david - siegel - and - scott - mcgehee - uncertainty / Filmmaker Magazine interview : "" David Siegel and Scott McGehee , ' Uncertainty ' ""","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"interview","extern","http : / / www . filmmakermagazine . com / news / 2009 / 11 / david - siegel - and - scott - mcgehee - uncertainty / Filmmaker Magazine interview : "" David Siegel and Scott McGehee , ' Uncertainty ' ""","69.200.246.188","4","2008-11-19T21:02:00.000Z"
":","extern","http : / / www . filmmakermagazine . com / news / 2009 / 11 / david - siegel - and - scott - mcgehee - uncertainty / Filmmaker Magazine interview : "" David Siegel and Scott McGehee , ' Uncertainty ' ""","69.200.246.188","4","2008-11-19T21:02:00.000Z"
"""","extern","http : / / www . filmmakermagazine . com / news / 2009 / 11 / david - siegel - and - scott - mcgehee - uncertainty / Filmmaker Magazine interview : "" David Siegel and Scott McGehee , ' Uncertainty ' ""","69.200.246.188","4","2008-11-19T21:02:00.000Z"
"David","PERSON","David Siegel ","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"Siegel","PERSON","David Siegel ","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"and","extern","http : / / www . filmmakermagazine . com / news / 2009 / 11 / david - siegel - and - scott - mcgehee - uncertainty / Filmmaker Magazine interview : "" David Siegel and Scott McGehee , ' Uncertainty ' ""","","-1","2016-12-13T10:02:39.361+01:00"
"Scott","PERSON","Scott McGehee ","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"McGehee","PERSON","Scott McGehee ","72.229.19.102","9","2012-09-11T16:34:43.000Z"
",","extern","http : / / www . filmmakermagazine . com / news / 2009 / 11 / david - siegel - and - scott - mcgehee - uncertainty / Filmmaker Magazine interview : "" David Siegel and Scott McGehee , ' Uncertainty ' ""","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"'","extern","http : / / www . filmmakermagazine . com / news / 2009 / 11 / david - siegel - and - scott - mcgehee - uncertainty / Filmmaker Magazine interview : "" David Siegel and Scott McGehee , ' Uncertainty ' ""","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"Uncertainty","extern","http : / / www . filmmakermagazine . com / news / 2009 / 11 / david - siegel - and - scott - mcgehee - uncertainty / Filmmaker Magazine interview : "" David Siegel and Scott McGehee , ' Uncertainty ' ""","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"'","extern","http : / / www . filmmakermagazine . com / news / 2009 / 11 / david - siegel - and - scott - mcgehee - uncertainty / Filmmaker Magazine interview : "" David Siegel and Scott McGehee , ' Uncertainty ' ""","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"""","extern","http : / / www . filmmakermagazine . com / news / 2009 / 11 / david - siegel - and - scott - mcgehee - uncertainty / Filmmaker Magazine interview : "" David Siegel and Scott McGehee , ' Uncertainty ' ""","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"3","header","","69.200.246.188","4","2008-11-19T21:02:00.000Z"
".","header","","Contributor7","0","2008-10-22T20:08:47.000Z"
"External","header","","Contributor7","0","2008-10-22T20:08:47.000Z"
"links","header","","Contributor7","0","2008-10-22T20:08:47.000Z"
"American","category","American film directors","Rich Farmbrough","7","2012-01-23T12:40:19.000Z"
"film","category","American film directors","Rich Farmbrough","7","2012-01-23T12:40:19.000Z"
"directors","category","American film directors","Rich Farmbrough","7","2012-01-23T12:40:19.000Z"
"American","category","American screenwriters","Rich Farmbrough","7","2012-01-23T12:40:19.000Z"
"screenwriters","category","American screenwriters","Rich Farmbrough","7","2012-01-23T12:40:19.000Z"
"Living","category","Living people","Rich Farmbrough","7","2012-01-23T12:40:19.000Z"
"people","category","Living people","Rich Farmbrough","7","2012-01-23T12:40:19.000Z"
"People","category","People from Orange County , California","69.200.246.188","4","2008-11-19T21:02:00.000Z"
"from","category","People from Orange County , California","","-1","2016-12-13T10:02:39.104+01:00"
"Orange","LOCATION","Orange County ","69.200.246.188","4","2008-11-19T21:02:00.000Z"
"County","LOCATION","Orange County ","69.200.246.188","4","2008-11-19T21:02:00.000Z"
",","category","People from Orange County , California","69.200.246.188","4","2008-11-19T21:02:00.000Z"
"California","ORGANIZATION","California University of California , Berkeley ","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"University","ORGANIZATION","California University of California , Berkeley ","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"of","ORGANIZATION","California University of California , Berkeley ","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"California","ORGANIZATION","California University of California , Berkeley ","72.229.19.102","9","2012-09-11T16:34:43.000Z"
",","ORGANIZATION","California University of California , Berkeley ","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"Berkeley","ORGANIZATION","California University of California , Berkeley ","72.229.19.102","9","2012-09-11T16:34:43.000Z"
"alumni","category","University of California , Berkeley alumni","72.229.19.102","9","2012-09-11T16:34:43.000Z"
