Index,Pagetitle,Time,Editor,TextDQ (IN),Edit Longevity,Vandalism?
0,Eigenvalue perturbation,2007-04-10T11:56:31.000Z,BenFrantzDale,0.9937095291068786,0.9797535211267606,0
1,Eigenvalue perturbation,2007-04-10T18:52:23.000Z,128113131145,0.9866643049691337,0.9791666666666666,0
2,Eigenvalue perturbation,2007-04-10T18:52:59.000Z,128113131145,0.995596824338875,1.0,0
3,Eigenvalue perturbation,2007-04-10T18:54:36.000Z,128113131145,0.0,0.9166666666666666,0
4,Eigenvalue perturbation,2007-04-12T03:45:37.000Z,Jmath666,0.0,0.9166666666666666,0
5,Eigenvalue perturbation,2007-04-12T18:29:45.000Z,SmackBot,0.9589766769792117,0.2857142857142857,0
6,Eigenvalue perturbation,2007-04-29T14:57:23.000Z,BenFrantzDale,0.9805125974880312,0.07692307692307693,0
7,Eigenvalue perturbation,2007-05-09T22:42:18.000Z,Essap,0.0,0.9166666666666666,0
8,Eigenvalue perturbation,2007-05-10T11:02:49.000Z,SmackBot,0.823679364251047,1.0,0
9,Eigenvalue perturbation,2007-12-02T11:09:26.000Z,81.108.234.28,0.0,-1.0,1
10,Eigenvalue perturbation,2007-12-02T11:10:23.000Z,81.108.234.28,0.9589766769792117,1.0,0
11,Eigenvalue perturbation,2008-05-27T20:09:04.000Z,152.14.96.220,0.0,-1.0,1
12,Eigenvalue perturbation,2008-07-24T17:09:00.000Z,Bruguiea,0.9293814762538863,0.7966101694915254,0
13,Eigenvalue perturbation,2008-07-24T17:25:31.000Z,Arthur Rubin,0.7627009844794012,0.8888888888888888,0
14,Eigenvalue perturbation,2008-07-24T17:27:09.000Z,Michael Hardy,0.823679364251047,7.0,0
15,Eigenvalue perturbation,2008-07-24T17:28:34.000Z,Arthur Rubin,0.823679364251047,1.0,0
16,Eigenvalue perturbation,2008-07-24T17:29:08.000Z,Michael Hardy,0.7627009844794012,0.7428571428571429,0
17,Eigenvalue perturbation,2008-07-24T17:30:12.000Z,Giftlite,0.6707908419708387,1.0,0
18,Eigenvalue perturbation,2008-11-03T18:23:02.000Z,SmackBot,0.5002454622667944,1.0,0
19,Eigenvalue perturbation,2009-07-28T07:34:52.000Z,BenFrantzDale,0.0,0.0,0
