"Content","Info","Reference","Editor","Source Index","Source Timestamp"
"{{Cleanup|date=May","text","","Arthur Rubin","13","2008-07-24T17:25:31.000Z"
"2007}}","text","","Arthur Rubin","13","2008-07-24T17:25:31.000Z"
"{{expert-subject|Mathematics}}","text","","Arthur Rubin","13","2008-07-24T17:25:31.000Z"
"{{Unreferenced|date=April","text","","SmackBot","5","2007-04-12T18:29:45.000Z"
"2007}}","text","","SmackBot","5","2007-04-12T18:29:45.000Z"
"'''Eigenvalue","text","","BenFrantzDale","0","2007-04-10T11:56:31.000Z"
"perturbation'''","text","","BenFrantzDale","0","2007-04-10T11:56:31.000Z"
"is","text","","","-1","2016-12-20T06:25:05.543+01:00"
"a","text","","","-1","2016-12-20T06:25:05.543+01:00"
"[[perturbation","text","","BenFrantzDale","0","2007-04-10T11:56:31.000Z"
"theory|perturbation]]","text","","BenFrantzDale","0","2007-04-10T11:56:31.000Z"
"approach","text","","BenFrantzDale","0","2007-04-10T11:56:31.000Z"
"to","text","","","-1","2016-12-20T06:25:05.543+01:00"
"finding","text","","Michael Hardy","14","2008-07-24T17:27:09.000Z"
"[[Eigenvector|eigenvalues","text","","BenFrantzDale","0","2007-04-10T11:56:31.000Z"
"and","text","","","-1","2016-12-20T06:25:05.543+01:00"
"eigenvectors]]","text","","BenFrantzDale","0","2007-04-10T11:56:31.000Z"
"of","text","","","-1","2016-12-20T06:25:05.543+01:00"
"systems","text","","BenFrantzDale","0","2007-04-10T11:56:31.000Z"
"perturbed","text","","BenFrantzDale","0","2007-04-10T11:56:31.000Z"
"from","text","","","-1","2016-12-20T06:25:05.543+01:00"
"one","text","","","-1","2016-12-20T06:25:05.543+01:00"
"with","text","","","-1","2016-12-20T06:25:05.543+01:00"
"known","text","","BenFrantzDale","0","2007-04-10T11:56:31.000Z"
"eigenvectors","text","","BenFrantzDale","0","2007-04-10T11:56:31.000Z"
"and","text","","","-1","2016-12-20T06:25:05.543+01:00"
"eigenvalues.","text","","BenFrantzDale","0","2007-04-10T11:56:31.000Z"
"It","text","","BenFrantzDale","0","2007-04-10T11:56:31.000Z"
"also","text","","","-1","2016-12-20T06:25:05.543+01:00"
"allows","text","","BenFrantzDale","0","2007-04-10T11:56:31.000Z"
"one","text","","","-1","2016-12-20T06:25:05.543+01:00"
"to","text","","","-1","2016-12-20T06:25:05.543+01:00"
"determine","text","","BenFrantzDale","0","2007-04-10T11:56:31.000Z"
"the","text","","","-1","2016-12-20T06:25:05.543+01:00"
"sensitivity","text","","BenFrantzDale","0","2007-04-10T11:56:31.000Z"
"of","text","","","-1","2016-12-20T06:25:05.543+01:00"
"the","text","","","-1","2016-12-20T06:25:05.543+01:00"
"eigenvalues","text","","BenFrantzDale","0","2007-04-10T11:56:31.000Z"
"and","text","","","-1","2016-12-20T06:25:05.543+01:00"
"eigenvectors","text","","BenFrantzDale","0","2007-04-10T11:56:31.000Z"
"with","text","","","-1","2016-12-20T06:25:05.543+01:00"
"respect","text","","BenFrantzDale","0","2007-04-10T11:56:31.000Z"
"to","text","","","-1","2016-12-20T06:25:05.543+01:00"
"changes","text","","BenFrantzDale","0","2007-04-10T11:56:31.000Z"
"in","text","","","-1","2016-12-20T06:25:05.543+01:00"
"the","text","","","-1","2016-12-20T06:25:05.543+01:00"
"system.","text","","BenFrantzDale","0","2007-04-10T11:56:31.000Z"
"==Example==","text","","BenFrantzDale","0","2007-04-10T11:56:31.000Z"
"Suppose","text","","BenFrantzDale","0","2007-04-10T11:56:31.000Z"
"we","text","","","-1","2016-12-20T06:25:05.543+01:00"
"have","text","","","-1","2016-12-20T06:25:05.543+01:00"
"solutions","text","","BenFrantzDale","0","2007-04-10T11:56:31.000Z"
"to","text","","","-1","2016-12-20T06:25:05.543+01:00"
"the","text","","","-1","2016-12-20T06:25:05.543+01:00"
"[[generalized","text","","BenFrantzDale","0","2007-04-10T11:56:31.000Z"
"eigenvalue","text","","BenFrantzDale","0","2007-04-10T11:56:31.000Z"
"problem]],","text","","BenFrantzDale","0","2007-04-10T11:56:31.000Z"
":<math>[K_0]","text","","BenFrantzDale","0","2007-04-10T11:56:31.000Z"
