Index,Pagetitle,Time,Editor,TextDQ (IN),Edit Longevity,Vandalism?
0,Eigenvalue perturbation,2007-04-10T11:56:31.000Z,BenFrantzDale,0.9937095291068786,0.9797535211267606,0
1,Eigenvalue perturbation,2007-04-10T18:52:23.000Z,128113131145,0.9866643049691337,0.9791666666666666,0
2,Eigenvalue perturbation,2007-04-10T18:52:59.000Z,128113131145,0.995596824338875,1.0,0
3,Eigenvalue perturbation,2007-04-10T18:54:36.000Z,128113131145,0.0,0.9166666666666666,0
4,Eigenvalue perturbation,2007-04-12T03:45:37.000Z,Jmath666,0.0,0.9166666666666666,0
5,Eigenvalue perturbation,2007-04-12T18:29:45.000Z,SmackBot,0.9589766769792117,0.2857142857142857,0
6,Eigenvalue perturbation,2007-04-29T14:57:23.000Z,BenFrantzDale,0.9805125974880312,0.07692307692307693,0
7,Eigenvalue perturbation,2007-05-09T22:42:18.000Z,Essap,0.0,0.9166666666666666,0
8,Eigenvalue perturbation,2007-05-10T11:02:49.000Z,SmackBot,0.823679364251047,1.0,0
9,Eigenvalue perturbation,2007-12-02T11:09:26.000Z,81.108.234.28,0.0,-1.0,1
10,Eigenvalue perturbation,2007-12-02T11:10:23.000Z,81.108.234.28,0.9589766769792117,1.0,0
11,Eigenvalue perturbation,2008-05-27T20:09:04.000Z,152.14.96.220,0.0,-1.0,1
12,Eigenvalue perturbation,2008-07-24T17:09:00.000Z,Bruguiea,0.9293814762538863,0.7966101694915254,0
13,Eigenvalue perturbation,2008-07-24T17:25:31.000Z,Arthur Rubin,0.7627009844794012,0.8888888888888888,0
14,Eigenvalue perturbation,2008-07-24T17:27:09.000Z,Michael Hardy,0.823679364251047,7.0,0
15,Eigenvalue perturbation,2008-07-24T17:28:34.000Z,Arthur Rubin,0.823679364251047,1.0,0
16,Eigenvalue perturbation,2008-07-24T17:29:08.000Z,Michael Hardy,0.7627009844794012,0.7428571428571429,0
17,Eigenvalue perturbation,2008-07-24T17:30:12.000Z,Giftlite,0.6707908419708387,1.0,0
0,David Siegel:(screenwriter),2008-10-22T20:08:47.000Z,Contributor7,0.9371534696820377,0.8991935483870968,0
1,David Siegel:(screenwriter),2008-10-23T07:20:22.000Z,RussBot,0.6707908419708387,0.0,0
18,Eigenvalue perturbation,2008-11-03T18:23:02.000Z,SmackBot,0.5002454622667944,1.0,0
2,David Siegel:(screenwriter),2008-11-13T15:21:46.000Z,207.144.99.125,0.0,0.08333333333333333,0
3,David Siegel:(screenwriter),2008-11-19T20:57:29.000Z,69200246188,0.0,-0.3333333333333333,0
4,David Siegel:(screenwriter),2008-11-19T21:02:00.000Z,69200246188,0.9260449780197094,0.92,0
19,Eigenvalue perturbation,2009-07-28T07:34:52.000Z,BenFrantzDale,0.0,0.0,0
5,David Siegel:(screenwriter),2009-08-07T15:52:20.000Z,All Hallow's Wraith,0.0,-0.8333333333333334,0
6,David Siegel:(screenwriter),2010-05-13T02:25:40.000Z,Jesi,0.9045027644965619,0.8235294117647058,0
7,David Siegel:(screenwriter),2012-01-23T12:40:19.000Z,Rich Farmbrough,0.9556230930606746,0.9130434782608695,0
8,David Siegel:(screenwriter),2012-08-25T18:14:43.000Z,HuPi,0.7715601549071072,0.5,0
9,David Siegel:(screenwriter),2012-09-11T16:34:43.000Z,72.229.19.102,0.9385363187240768,0.93048128342246,0
10,David Siegel:(screenwriter),2012-10-11T19:15:44.000Z,50.47.55.60,0.0,0.5,0
11,David Siegel:(screenwriter),2012-10-11T19:17:42.000Z,Pjthepiano,0.0,-0.5,0
12,David Siegel:(screenwriter),2012-11-18T00:50:23.000Z,85.81.82.15,0.0,0.6,0
13,David Siegel:(screenwriter),2012-11-18T02:39:41.000Z,WLU,0.0,-0.42424242424242425,0
14,David Siegel:(screenwriter),2012-12-16T00:35:31.000Z,Ser Amantio di Nicolao,0.8618765610854201,0.9583333333333334,0
15,David Siegel:(screenwriter),2013-03-24T17:13:14.000Z,Waacstats,0.7957901900704205,0.0,0
16,David Siegel:(screenwriter),2013-05-02T10:23:07.000Z,All Hallow's Wraith,0.7627009844794012,-0.38461538461538464,0
17,David Siegel:(screenwriter),2013-08-08T22:08:58.000Z,72.229.8.103,0.0,1.0,0
18,David Siegel:(screenwriter),2013-08-09T19:55:20.000Z,R'n'B,0.5002454622667944,-0.5,0
19,David Siegel:(screenwriter),2015-01-09T17:57:32.000Z,Camera-On,0.0,0.0,0
